Date,TimeEDT,Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
10/11/15,7:53 PM,61.0 °F,-,44.1 °F,54%,29.92 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/11/15,8:53 PM,54.0 °F,-,46.0 °F,75%,29.92 in,10.0 mi,South,4.6 mph,-,N/A,,Clear
10/11/15,9:53 PM,53.1 °F,-,46.0 °F,77%,29.92 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
10/11/15,10:53 PM,51.1 °F,-,45.0 °F,80%,29.92 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
10/11/15,11:53 PM,53.1 °F,-,44.1 °F,71%,29.92 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/12/15,12:53 AM,51.1 °F,-,44.1 °F,77%,29.92 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/12/15,1:53 AM,48.9 °F,-,43.0 °F,80%,29.92 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/12/15,2:53 AM,46.0 °F,43.9 °F,42.1 °F,86%,29.91 in,10.0 mi,South,4.6 mph,-,N/A,,Clear
10/12/15,3:53 AM,48.0 °F,-,42.1 °F,80%,29.90 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/12/15,4:53 AM,46.9 °F,-,42.1 °F,83%,29.89 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/12/15,5:53 AM,46.0 °F,-,39.9 °F,79%,29.89 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/12/15,6:53 AM,45.0 °F,-,39.9 °F,82%,29.90 in,9.0 mi,Calm,Calm,-,N/A,,Clear
10/12/15,7:53 AM,45.0 °F,-,41.0 °F,86%,29.91 in,8.0 mi,Calm,Calm,-,N/A,,Clear
10/12/15,8:53 AM,51.1 °F,-,45.0 °F,80%,29.89 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/12/15,9:53 AM,57.0 °F,-,46.0 °F,67%,29.88 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
10/12/15,10:53 AM,64.9 °F,-,48.0 °F,54%,29.86 in,10.0 mi,South,5.8 mph,-,N/A,,Clear
10/12/15,11:53 AM,69.1 °F,-,46.9 °F,45%,29.85 in,10.0 mi,SW,11.5 mph,-,N/A,,Clear
10/12/15,12:53 PM,70.0 °F,-,48.0 °F,46%,29.82 in,10.0 mi,Variable,4.6 mph,16.1 mph,N/A,,Clear
10/12/15,1:53 PM,72.0 °F,-,46.9 °F,41%,29.77 in,10.0 mi,South,9.2 mph,-,N/A,,Clear
10/12/15,2:53 PM,73.9 °F,-,45.0 °F,35%,29.74 in,10.0 mi,SSW,8.1 mph,18.4 mph,N/A,,Clear
10/12/15,3:53 PM,75.0 °F,-,43.0 °F,32%,29.71 in,10.0 mi,SW,8.1 mph,-,N/A,,Clear
10/12/15,4:53 PM,75.0 °F,-,43.0 °F,32%,29.70 in,10.0 mi,SSW,9.2 mph,-,N/A,,Clear
10/12/15,5:53 PM,73.9 °F,-,43.0 °F,33%,29.69 in,10.0 mi,SSW,6.9 mph,-,N/A,,Clear
10/12/15,6:53 PM,70.0 °F,-,44.1 °F,39%,29.68 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
10/12/15,7:53 PM,66.9 °F,-,45.0 °F,45%,29.68 in,10.0 mi,South,3.5 mph,-,N/A,,Scattered Clouds
10/12/15,8:53 PM,66.9 °F,-,45.0 °F,45%,29.66 in,10.0 mi,SSW,3.5 mph,-,N/A,,Overcast
10/12/15,9:53 PM,66.9 °F,-,44.1 °F,44%,29.64 in,10.0 mi,South,4.6 mph,-,N/A,,Mostly Cloudy
10/12/15,10:53 PM,69.1 °F,-,43.0 °F,39%,29.63 in,10.0 mi,Variable,5.8 mph,-,N/A,,Mostly Cloudy
10/12/15,11:53 PM,68.0 °F,-,43.0 °F,40%,29.63 in,10.0 mi,SW,3.5 mph,-,N/A,,Overcast
10/13/15,12:53 AM,66.9 °F,,45.0 °F,45%,29.62 in,10.0 mi,SW,9.2 mph,-,N/A,,Overcast
10/13/15,1:53 AM,64.9 °F,,46.9 °F,52%,29.60 in,10.0 mi,SSW,10.4 mph,-,N/A,,Overcast
10/13/15,2:53 AM,61.0 °F,,53.1 °F,75%,29.63 in,8.0 mi,SSW,6.9 mph,17.3 mph,0.04 in,Rain,Light Rain
10/13/15,3:53 AM,60.1 °F,,54.0 °F,80%,29.60 in,10.0 mi,SSW,5.8 mph,-,0.03 in,Rain,Light Rain
10/13/15,4:51 AM,60.8 °F,,55.4 °F,82%,29.61 in,6.0 mi,South,5.8 mph,-,0.05 in,Rain,Light Rain
10/13/15,4:53 AM,60.1 °F,,55.0 °F,83%,29.59 in,6.0 mi,SSW,5.8 mph,-,0.05 in,Rain,Light Rain
10/13/15,5:01 AM,60.1 °F,,55.0 °F,83%,29.60 in,4.0 mi,SSW,5.8 mph,-,0.02 in,Rain,Rain
10/13/15,5:38 AM,60.1 °F,,55.9 °F,86%,29.60 in,6.0 mi,Variable,5.8 mph,-,0.05 in,,Overcast
10/13/15,5:53 AM,60.1 °F,,55.9 °F,86%,29.58 in,10.0 mi,SSW,5.8 mph,-,0.05 in,,Overcast
10/13/15,6:53 AM,61.0 °F,,55.9 °F,83%,29.59 in,4.0 mi,Variable,3.5 mph,-,0.01 in,Rain,Light Rain
10/13/15,7:41 AM,61.0 °F,,55.9 °F,83%,29.62 in,9.0 mi,SSW,4.6 mph,-,0.00 in,,Overcast
10/13/15,7:53 AM,61.0 °F,,55.9 °F,83%,29.61 in,9.0 mi,SSW,5.8 mph,-,0.00 in,,Overcast
10/13/15,8:09 AM,60.1 °F,,55.0 °F,83%,29.63 in,8.0 mi,SSW,6.9 mph,-,N/A,,Mostly Cloudy
10/13/15,8:53 AM,61.0 °F,,55.9 °F,83%,29.62 in,10.0 mi,SW,9.2 mph,-,N/A,,Mostly Cloudy
10/13/15,9:18 AM,62.1 °F,,55.0 °F,78%,29.64 in,10.0 mi,SSW,6.9 mph,-,N/A,,Mostly Cloudy
10/13/15,9:25 AM,62.1 °F,,55.0 °F,78%,29.64 in,10.0 mi,Variable,6.9 mph,-,N/A,,Scattered Clouds
10/13/15,9:41 AM,62.1 °F,,55.0 °F,78%,29.64 in,10.0 mi,Variable,6.9 mph,18.4 mph,N/A,,Mostly Cloudy
10/13/15,9:43 AM,62.1 °F,,55.0 °F,78%,29.64 in,10.0 mi,SSW,8.1 mph,18.4 mph,N/A,,Scattered Clouds
10/13/15,9:48 AM,62.6 °F,,55.4 °F,77%,29.64 in,10.0 mi,SSW,6.9 mph,18.4 mph,N/A,,Mostly Cloudy
10/13/15,9:53 AM,63.0 °F,,55.0 °F,75%,29.62 in,10.0 mi,SW,8.1 mph,-,N/A,,Mostly Cloudy
10/13/15,10:26 AM,63.0 °F,,54.0 °F,72%,29.64 in,10.0 mi,SSW,6.9 mph,-,N/A,,Mostly Cloudy
10/13/15,10:53 AM,64.9 °F,,54.0 °F,68%,29.62 in,10.0 mi,WSW,12.7 mph,-,N/A,,Mostly Cloudy
10/13/15,11:00 AM,64.9 °F,,53.1 °F,65%,29.64 in,10.0 mi,WSW,8.1 mph,-,N/A,,Scattered Clouds
10/13/15,11:53 AM,66.9 °F,,51.1 °F,57%,29.61 in,10.0 mi,SW,13.8 mph,-,N/A,,Mostly Cloudy
10/13/15,12:53 PM,66.0 °F,,48.0 °F,52%,29.61 in,10.0 mi,SSW,10.4 mph,-,N/A,,Overcast
10/13/15,1:53 PM,66.0 °F,,48.0 °F,52%,29.60 in,10.0 mi,SW,8.1 mph,-,N/A,,Overcast
10/13/15,2:53 PM,66.9 °F,,46.9 °F,49%,29.60 in,10.0 mi,Variable,5.8 mph,-,N/A,,Overcast
10/13/15,3:53 PM,64.9 °F,,48.0 °F,54%,29.62 in,10.0 mi,Variable,4.6 mph,-,0.00 in,Rain,Light Rain
10/13/15,4:53 PM,64.9 °F,,46.9 °F,52%,29.64 in,10.0 mi,Variable,6.9 mph,-,0.01 in,,Overcast
10/13/15,5:53 PM,63.0 °F,,45.0 °F,52%,29.68 in,10.0 mi,WNW,9.2 mph,-,N/A,,Overcast
10/13/15,6:53 PM,62.1 °F,,46.0 °F,56%,29.71 in,10.0 mi,WNW,6.9 mph,-,N/A,,Overcast
10/13/15,7:53 PM,60.1 °F,,44.1 °F,55%,29.75 in,10.0 mi,West,9.2 mph,-,N/A,,Scattered Clouds
10/13/15,8:53 PM,60.1 °F,,43.0 °F,53%,29.78 in,10.0 mi,West,5.8 mph,-,N/A,,Overcast
10/13/15,9:53 PM,59.0 °F,,43.0 °F,55%,29.80 in,10.0 mi,Variable,3.5 mph,-,N/A,,Overcast
10/13/15,10:53 PM,59.0 °F,,43.0 °F,55%,29.81 in,10.0 mi,Variable,3.5 mph,-,N/A,,Overcast
10/13/15,11:53 PM,57.9 °F,,43.0 °F,58%,29.81 in,10.0 mi,Variable,4.6 mph,-,N/A,,Overcast
10/14/15,12:53 AM,57.9 °F,,43.0 °F,58%,29.80 in,10.0 mi,SW,4.6 mph,-,N/A,,Overcast
10/14/15,1:53 AM,57.0 °F,,42.1 °F,57%,29.80 in,10.0 mi,SW,3.5 mph,-,N/A,,Overcast
10/14/15,2:53 AM,57.0 °F,,39.9 °F,53%,29.80 in,10.0 mi,West,5.8 mph,-,N/A,,Overcast
10/14/15,3:53 AM,55.9 °F,,41.0 °F,57%,29.81 in,10.0 mi,Variable,3.5 mph,-,N/A,,Overcast
10/14/15,4:53 AM,55.9 °F,,41.0 °F,57%,29.82 in,10.0 mi,Variable,3.5 mph,-,N/A,,Overcast
10/14/15,5:53 AM,55.9 °F,,41.0 °F,57%,29.84 in,10.0 mi,West,3.5 mph,-,N/A,,Overcast
10/14/15,6:53 AM,55.0 °F,,39.9 °F,57%,29.86 in,10.0 mi,Variable,5.8 mph,-,N/A,,Overcast
10/14/15,7:53 AM,55.0 °F,,39.9 °F,57%,29.88 in,10.0 mi,Variable,3.5 mph,-,N/A,,Overcast
10/14/15,8:53 AM,55.0 °F,,39.9 °F,57%,29.89 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/14/15,9:53 AM,55.9 °F,,39.9 °F,55%,29.91 in,10.0 mi,Variable,3.5 mph,-,N/A,,Overcast
10/14/15,10:53 AM,57.0 °F,,39.0 °F,51%,29.92 in,10.0 mi,Variable,4.6 mph,-,N/A,,Overcast
10/14/15,11:53 AM,59.0 °F,,39.9 °F,49%,29.93 in,10.0 mi,Variable,3.5 mph,-,N/A,,Overcast
10/14/15,12:53 PM,59.0 °F,,37.9 °F,46%,29.94 in,10.0 mi,WSW,4.6 mph,-,N/A,,Overcast
10/14/15,1:53 PM,60.1 °F,,39.0 °F,46%,29.92 in,10.0 mi,North,-,-,N/A,,Overcast
10/14/15,2:53 PM,61.0 °F,,39.0 °F,44%,29.91 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/14/15,3:53 PM,60.1 °F,,39.0 °F,46%,29.91 in,10.0 mi,SSW,4.6 mph,-,N/A,,Overcast
10/14/15,4:53 PM,60.1 °F,,37.9 °F,44%,29.92 in,10.0 mi,South,3.5 mph,-,N/A,,Overcast
10/14/15,5:53 PM,61.0 °F,,39.0 °F,44%,29.92 in,10.0 mi,SW,5.8 mph,-,N/A,,Overcast
10/14/15,6:53 PM,57.9 °F,,41.0 °F,53%,29.92 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/14/15,7:53 PM,55.9 °F,,42.1 °F,60%,29.94 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/14/15,8:53 PM,55.0 °F,,43.0 °F,64%,29.96 in,10.0 mi,North,3.5 mph,-,N/A,,Overcast
10/14/15,9:53 PM,53.1 °F,,43.0 °F,69%,29.97 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/14/15,10:53 PM,53.1 °F,,44.1 °F,71%,30.00 in,10.0 mi,North,8.1 mph,-,N/A,,Overcast
10/14/15,11:53 PM,52.0 °F,,43.0 °F,71%,30.01 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/15/15,12:46 AM,52.0 °F,-,43.0 °F,71%,30.01 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/15/15,12:53 AM,52.0 °F,-,42.1 °F,69%,30.01 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
10/15/15,1:07 AM,52.0 °F,-,43.0 °F,71%,30.01 in,10.0 mi,Calm,Calm,-,N/A,,Overcast
10/15/15,1:53 AM,50.0 °F,-,43.0 °F,77%,30.03 in,10.0 mi,Calm,Calm,-,N/A,,Partly Cloudy
10/15/15,2:53 AM,48.0 °F,-,43.0 °F,83%,30.04 in,10.0 mi,SSW,4.6 mph,-,N/A,,Scattered Clouds
10/15/15,3:53 AM,46.9 °F,-,42.1 °F,83%,30.04 in,8.0 mi,South,3.5 mph,-,N/A,,Scattered Clouds
10/15/15,4:51 AM,44.6 °F,42.2 °F,41.0 °F,87%,30.05 in,3.0 mi,South,4.6 mph,-,N/A,,Partly Cloudy
10/15/15,4:53 AM,45.0 °F,43.5 °F,41.0 °F,86%,30.05 in,3.0 mi,South,3.5 mph,-,N/A,,Partly Cloudy
10/15/15,5:53 AM,45.0 °F,43.5 °F,39.9 °F,82%,30.07 in,8.0 mi,SSW,3.5 mph,-,N/A,,Clear
10/15/15,6:53 AM,44.1 °F,-,39.0 °F,82%,30.09 in,7.0 mi,Calm,Calm,-,N/A,,Clear
10/15/15,7:39 AM,43.0 °F,-,37.9 °F,82%,30.09 in,2.0 mi,Calm,Calm,-,N/A,,Haze
10/15/15,7:41 AM,43.0 °F,-,37.9 °F,82%,30.09 in,0.2 mi,Calm,Calm,-,N/A,Fog,Fog
10/15/15,7:53 AM,43.0 °F,-,39.0 °F,86%,30.11 in,0.2 mi,Calm,Calm,-,N/A,Fog,Fog
10/15/15,8:42 AM,45.0 °F,43.5 °F,41.0 °F,86%,30.11 in,0.2 mi,Variable,3.5 mph,-,N/A,Fog,Fog
10/15/15,8:50 AM,46.4 °F,-,42.8 °F,87%,30.11 in,0.8 mi,Calm,Calm,-,N/A,,Mist
10/15/15,8:53 AM,46.0 °F,-,42.1 °F,86%,30.12 in,0.8 mi,Calm,Calm,-,N/A,,Mist
10/15/15,9:17 AM,46.9 °F,-,43.0 °F,86%,30.12 in,2.0 mi,Variable,3.5 mph,-,N/A,,Mostly Cloudy
10/15/15,9:20 AM,46.9 °F,-,43.0 °F,86%,30.12 in,3.0 mi,Variable,3.5 mph,-,N/A,,Mostly Cloudy
10/15/15,9:32 AM,48.0 °F,-,43.0 °F,83%,30.12 in,9.0 mi,South,3.5 mph,-,N/A,,Partly Cloudy
10/15/15,9:53 AM,50.0 °F,-,44.1 °F,80%,30.13 in,10.0 mi,Variable,3.5 mph,-,N/A,,Partly Cloudy
10/15/15,10:53 AM,55.0 °F,-,43.0 °F,64%,30.13 in,10.0 mi,SW,9.2 mph,-,N/A,,Clear
10/15/15,11:53 AM,57.9 °F,-,39.0 °F,49%,30.13 in,10.0 mi,Variable,5.8 mph,-,N/A,,Scattered Clouds
10/15/15,12:53 PM,60.1 °F,-,37.9 °F,44%,30.11 in,10.0 mi,SW,9.2 mph,-,N/A,,Scattered Clouds
10/15/15,1:53 PM,62.1 °F,-,35.1 °F,37%,30.08 in,10.0 mi,Variable,4.6 mph,-,N/A,,Partly Cloudy
10/15/15,2:53 PM,63.0 °F,-,34.0 °F,34%,30.06 in,10.0 mi,Variable,6.9 mph,-,N/A,,Mostly Cloudy
10/15/15,3:53 PM,64.0 °F,-,33.1 °F,31%,30.04 in,10.0 mi,WSW,6.9 mph,-,N/A,,Clear
10/15/15,4:53 PM,64.0 °F,-,32.0 °F,30%,30.04 in,10.0 mi,WSW,8.1 mph,17.3 mph,N/A,,Partly Cloudy
10/15/15,5:53 PM,63.0 °F,-,33.1 °F,33%,30.03 in,10.0 mi,SW,11.5 mph,-,N/A,,Clear
10/15/15,6:53 PM,60.1 °F,-,33.1 °F,36%,30.03 in,10.0 mi,SSW,5.8 mph,-,N/A,,Clear
10/15/15,7:53 PM,55.0 °F,-,35.1 °F,47%,30.04 in,10.0 mi,SSW,8.1 mph,-,N/A,,Clear
10/15/15,8:53 PM,54.0 °F,-,35.1 °F,49%,30.04 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
10/15/15,9:53 PM,55.0 °F,-,35.1 °F,47%,30.02 in,10.0 mi,South,4.6 mph,-,N/A,,Scattered Clouds
10/15/15,10:53 PM,57.0 °F,-,34.0 °F,42%,30.02 in,10.0 mi,Variable,4.6 mph,-,N/A,,Mostly Cloudy
10/15/15,11:53 PM,54.0 °F,-,35.1 °F,49%,29.99 in,10.0 mi,South,4.6 mph,-,N/A,,Partly Cloudy
